call_id,timestamp,model_name,provider,num_items_in_call,prompt_tokens,completion_tokens,total_tokens,duration_sec,api_status,error_message
310ca9eb-344c-479c-b404-4b7c03c37a2f,1749440568.1496792,gemma3,ollama,10,4096,1383,5479,52.123308420181274,SUCCESS,
9d3afcb8-060f-4541-bef0-4b0b8375a530,1749440630.933185,gemma3,ollama,10,4096,1621,5717,60.55713224411011,SUCCESS,
74f1c8ee-9f41-4b71-b29d-179fcc36a05f,1749440689.4844759,gemma3,ollama,10,4096,1497,5593,56.31319856643677,SUCCESS,
ac3ee3aa-3cc2-4d9a-927f-fa0c55914b75,1749440751.2005622,gemma3,ollama,10,4096,1579,5675,59.48442459106445,SUCCESS,
0de05677-b417-46e3-903a-04f324f9fbab,1749441925.886977,gemma3,ollama,25,0,0,0,1171.7406051158905,SUCCESS,
057c5dda-e634-4731-9035-c6932ef37b0f,1749442648.3117883,gemma3,ollama,25,4096,6664,10760,720.1376667022705,SUCCESS,
0c94ca08-339c-4321-ac64-954e19d3c175,1749442987.687104,gemma3,ollama,25,4096,4692,8788,337.11178708076477,SUCCESS,
3457f0a3-38fb-4cda-b1e5-adb50711e165,1749447379.5872087,gemma3,ollama,25,,,,4389.652022600174,TIMEOUT_ERROR,
f3e94be2-5f0f-4c27-9e24-33730fc660f7,1749448915.5450761,gemma3,ollama,25,,,,1533.6898174285889,TIMEOUT_ERROR,
d22a1fd6-a2c1-4f19-af8c-9119fb6c3e10,1749450247.1440969,gemma3,ollama,25,4096,12582,16678,1329.3074078559875,SUCCESS,
fcb849bb-66a9-42f4-88f1-c3a1dd4d009c,1749454557.4797647,gemma3,ollama,25,,,,4308.0731954574585,TIMEOUT_ERROR,
4966a028-a83a-4e15-9730-19c40791a4aa,1749454657.908549,gemma3,ollama,25,4096,2735,6831,98.08058404922485,SUCCESS,
584ae5ad-6da7-437c-90ac-775ce83a3ec3,1749455004.3175175,gemma3,ollama,25,4096,4827,8923,344.15704107284546,SUCCESS,
9ad64606-f4dc-4606-8720-02d8494520c4,1749456531.934276,gemma3,ollama,25,,,,1525.3493330478668,TIMEOUT_ERROR,
6f73c620-0fb0-489d-b208-318e57cc6f57,1749457517.2829478,gemma3,ollama,25,4096,2611,6707,982.8514122962952,SUCCESS,
89134015-9dac-4c12-b767-7c6d64f84002,1749457603.1542904,gemma3,ollama,25,4096,2318,6414,83.62213850021362,SUCCESS,
4b123747-5954-49ef-910d-3b6ad687fcd9,1749458918.437911,gemma3,ollama,25,,,,1313.0327699184418,TIMEOUT_ERROR,
c29e7361-94c2-43b4-91ff-0f2420809abc,1749459316.0749106,gemma3,ollama,25,4096,2701,6797,395.3926668167114,SUCCESS,
de97dbaa-970e-4cf1-97b6-699264449fc2,1749460204.3728435,gemma3,ollama,25,4096,4397,8493,886.0480825901031,SUCCESS,
e06b9e39-fad1-49cb-a60a-d1113bd1fba8,1749460589.616829,gemma3,ollama,25,4096,6406,10502,382.9920904636383,SUCCESS,
d4dea3f1-daed-4707-a9de-ccdfb41f553d,1749461914.1285203,gemma3,ollama,25,4096,2832,6928,1322.257881641388,SUCCESS,
4eef836a-0ca3-461f-aa7f-0266c74ce2b2,1749462057.5111444,gemma3,ollama,25,4096,2,4098,141.12815618515015,SUCCESS,
f7ef7080-76c9-4a57-9a35-58f52f8f8cb0,1749463585.6378653,gemma3,ollama,25,4096,2772,6868,1525.8555798530579,SUCCESS,
7dcd22bd-8a90-475e-8961-653e884d839e,1749463860.2448373,gemma3,ollama,25,4096,3784,7880,272.3484251499176,SUCCESS,
347c343e-a080-4c4d-84b4-e04136c11d17,1749463977.8646622,qwen2.5,ollama,10,4096,1902,5998,115.19673371315002,SUCCESS,
9585bd81-18f9-4360-86f2-f1ae54acf441,1749464067.5089471,qwen2.5,ollama,10,4096,1570,5666,87.37457466125488,SUCCESS,
78e4bbe7-6219-4cfe-bea3-70d21eff7337,1749464156.8669236,qwen2.5,ollama,10,4096,1556,5652,87.11202812194824,SUCCESS,
a8d6082c-3ca6-466c-9ff1-065ba5999dc7,1749464248.6614273,qwen2.5,ollama,10,4096,1605,5701,89.56308650970459,SUCCESS,
ffdd9911-0c26-4a36-9439-4457ac98a7ef,1749464346.7301385,qwen2.5,ollama,10,4096,1726,5822,95.82917714118958,SUCCESS,
222db2ad-b13b-496e-845a-096286094236,1749464440.772869,qwen2.5,ollama,10,4096,1642,5738,91.78951239585876,SUCCESS,
28a42825-7f38-4438-902a-b804be61571f,1749464535.0229912,qwen2.5,ollama,10,4096,1652,5748,92.01528310775757,SUCCESS,
99ec5f0d-99d1-47c2-8858-c86cea9dc3a6,1749464624.4103115,qwen2.5,ollama,10,4096,1565,5661,87.1439197063446,SUCCESS,
d42f2a27-41e8-4451-893c-17b5b20cc8fd,1749464725.9987361,qwen2.5,ollama,10,4096,1791,5887,99.35237908363342,SUCCESS,
a5ae1e56-12c7-4b36-b337-1236a4e59979,1749464826.0368006,qwen2.5,ollama,10,4096,1766,5862,97.7550368309021,SUCCESS,
22ac0514-bb57-406e-9c99-ab8849358d8c,1749464938.4135575,qwen2.5,ollama,10,4096,2005,6101,110.11393475532532,SUCCESS,
