Métrica,l0_size,Média,Mediana,DesvioPadrão,Mínimo,P25,P75,Máximo,IQR,CV (Mediana)
Acurácia,800,0.529443013200727,0.5315838875242147,0.009493244140049933,0.507618876440397,0.5237403391049068,0.5368761608052244,0.5438260140195315,0.013135821700317574,0.01785841208695229
Acurácia,900,0.5462125297066283,0.5468915383540032,0.005394485603601788,0.5338405927346075,0.5435763784874084,0.5498322449224133,0.556627324106804,0.006255866435004975,0.009863903928690942
Acurácia,1000,0.558521225677178,0.5590138397939008,0.0066115899733878575,0.5423282008267929,0.5551994088630599,0.5643160984961956,0.5684300920655843,0.009116689633135722,0.011827238416848863
Acurácia,2000,0.6403737210339571,0.6411439298624009,0.004077023753020514,0.6329958260939029,0.6366405048629002,0.6430860943023186,0.6484133165578255,0.006445589439418309,0.006358983617822789
Acurácia,3000,0.678713078904799,0.6782098136720389,0.0043988016079119854,0.6705210392826473,0.6753140414994109,0.6817696163601142,0.6872566053561799,0.006455574860703361,0.006485900841820033
Acurácia,4000,0.705128512371937,0.7052802907754678,0.0029522876584178763,0.6980808020290376,0.7034629441016116,0.7066632716234298,0.7136380883909492,0.0032003275218182026,0.004185977820230603
Acurácia,5000,0.7209900212356626,0.7212369939887764,0.002763365527614958,0.7134184091226808,0.7187855730633275,0.7233788668543926,0.7257004773031375,0.004593293791065101,0.0038314251027264075
Acurácia,6000,0.7356752474720242,0.7355061610049327,0.003892803334124138,0.7274579114492841,0.7320961396361313,0.7381822539092924,0.7463503285203603,0.006086114273161081,0.005292686227825282
Acurácia,7000,0.7465160865136901,0.7470692788528748,0.002585338687357715,0.7406386675453838,0.7443782078165878,0.7480178938749426,0.7507838555708666,0.003639686058354741,0.003460641144107629
Acurácia,8000,0.7547906722851304,0.7551774409362331,0.003002264424339332,0.7481277335090768,0.7526311585085775,0.757359255486989,0.7600103848381363,0.004728096978411478,0.003975574822046714
Acurácia,9000,0.762917473821554,0.7621772212569649,0.0028648322345436812,0.7575939128871847,0.7608791164899247,0.765117927825375,0.7688374972540092,0.004238811335450343,0.0037587481636624075
Acurácia,10000,0.7691603592088884,0.7693167974756855,0.0025074733748675425,0.7650829788508777,0.7670451141333653,0.7709693846983404,0.774109799692449,0.00392427056497513,0.0032593508679854884
Acurácia,20000,0.8064246200547202,0.8065424480258823,0.0021236185376576227,0.801849300021968,0.8053242266291214,0.8078605236354922,0.811555129510914,0.0025362970063708135,0.002632990415101481
Acurácia,30000,0.8260812547014692,0.8260339903740539,0.0013107669629260981,0.8236574601082419,0.8253200327521818,0.8269476564216244,0.8286901124358437,0.0016276236694425794,0.001586819642549724
Acurácia,40000,0.8380091732736871,0.8379565833882532,0.0013682224463536126,0.8347812194196473,0.8370479100513251,0.838690511852695,0.8416312184211052,0.0016426018013699917,0.0016328082765200513
Acurácia,50000,0.8472203915616533,0.8469434625446848,0.0017728201995263423,0.8431290316138438,0.8463093882930921,0.8481616839414455,0.851776406446588,0.0018522956483534303,0.0020931978057975864
Acurácia,60000,0.8534745937597774,0.8536037385417291,0.0011397263595685017,0.8513969604377609,0.8526601162303038,0.8540081481037685,0.8558704291734068,0.0013480318734646612,0.0013351937283924999
Acurácia,70000,0.8586756668597181,0.8586264054480458,0.0011008006451204949,0.8564895252930721,0.8578575280091068,0.8594402172827672,0.8613424400375452,0.0015826892736604536,0.0012820484402224154
Acurácia,80000,0.8635572064785413,0.8634593493499491,0.0011696440293186687,0.8613823817226849,0.8627503844387195,0.8643131028698101,0.8665148882631358,0.0015627184310905706,0.00135460230854484
Acurácia,90000,0.8674135761787789,0.8674635032852036,0.0011889174350290465,0.8653965210792244,0.8664549757354263,0.8679228326643101,0.8703093483514069,0.0014678569288838483,0.0013705676713266725
Acurácia,100000,0.8709404269766142,0.8708785173646476,0.0008942404761847709,0.8691110977972161,0.8703492900365466,0.8715425478800951,0.8725660535617997,0.001193257843548512,0.0010268257366871246
Acurácia,110000,0.8739154168247691,0.8741337647035328,0.001081681255739482,0.872006869969844,0.8730353683621912,0.8746180576358517,0.8756415633175564,0.0015826892736604536,0.001237432185071707
Acurácia,120000,0.8764816700949947,0.8765702074970543,0.0008409685482031995,0.8748627004573323,0.875756395662333,0.8769596389271663,0.8781179477962175,0.0012032432648333424,0.000959385272338999
Acurácia,130000,0.8788948135721846,0.8789966648692908,0.000768174605534304,0.877259201565714,0.8783625906176982,0.8793960817206878,0.8804145946917501,0.0010334911029896698,0.0008739220924969169
Acurácia,140000,0.8812154254788009,0.8812234138158289,0.0006711110993944553,0.879775527729515,0.8808689313602142,0.8817226848800751,0.8827112415872825,0.0008537535198609447,0.0007615674846028847
Acurácia,150000,0.8831852162509403,0.8831506001238192,0.000534536005501283,0.8817726119864997,0.8829409062768359,0.8835100752900764,0.8841092005671719,0.0005691690132405558,0.0006052603087413176
Acurácia,160000,0.8849233452492694,0.884888063427396,0.0005421679705217138,0.8839294629840433,0.8845685299462784,0.8852425458830108,0.8860264014538773,0.0006740159367323306,0.0006126966701404729
Acurácia,170000,0.8864551088743767,0.8865057016755538,0.0004846854337760158,0.8854871887044914,0.8861262556667266,0.8866554829948275,0.8876839813871747,0.0005292273281009008,0.0005467369609842234
Acurácia,180000,0.8880301426583854,0.888033471132147,0.0004255350228236922,0.8870049727398,0.8878437481277335,0.8881982305833483,0.8889221736265053,0.00035448245561486846,0.000479188044344762
Acurácia,190000,0.8894640491549005,0.8895212989036008,0.0003651964413631207,0.8887823777285163,0.8892417071076228,0.8896960437760869,0.8902003075509756,0.0004543366684640615,0.00041055390287191305
Acurácia,200000,0.8908380431237061,0.8908293890919258,8.774849870243166e-05,0.8906995786152218,0.8907844546961436,0.8908793161983504,0.8911189663091886,9.486150220672229e-05,9.850202483034018e-05
F1-Macro,10,0.0036265686395571565,0.0034828993732340862,0.001076525985655506,0.002143391243009415,0.002864437193651939,0.003964518312395176,0.006715072301526258,0.0011000811187432367,0.30908894033505924
F1-Macro,20,0.007815959132726692,0.008060591401974269,0.0014101849226731639,0.005367644521932452,0.0065573703273614755,0.00892808759562599,0.01012583895660527,0.0023707172682645153,0.17494805001277194
F1-Macro,30,0.011692649462744953,0.011594260375712689,0.0017129546405109796,0.008955765746818384,0.01036294087871727,0.01311011554031717,0.01468654135752166,0.0027471746615998997,0.14774159258641742
F1-Macro,40,0.01510195085834727,0.015274471832481335,0.0015069981470672948,0.01116064878095286,0.014261483233231221,0.015789149042752068,0.01817410618652348,0.0015276658095208472,0.09866122147683203
